Composer,Lyricist,Singer,Title,image
,W A Abeysinghe,Amaradewa W D,Adawan Wu Denethin Galana,https://www.lklyrics.com/img/songs/amaradewa_w_d/adawan_wu_denethin_galana.png
Amaradewa W D,Mahagamasekara,Amaradewa W D,Dathe Karagata,https://www.lklyrics.com/img/songs/amaradewa_w_d/dathe_karagata.png
Amaradewa W D,Sunil Ariyarathna,"Amaradewa W D,Neela Wickramasinghe",Das Kon Saki Sanda,https://www.lklyrics.com/img/songs/amaradewa_w_d/das_kon_saki_sanda.png
Amaradewa W D,Swarna Sri Bandara,Amaradewa W D,Dathe Elli,https://www.lklyrics.com/img/songs/amaradewa_w_d/dathe_elli.png
,,Amaradewa W D,Daru Duka Uhula,https://www.lklyrics.com/img/songs/amaradewa_w_d/daru_duka_uhula.png
Amaradewa W D,Mahagamasekara,Amaradewa W D,Ase Mathuwana,https://www.lklyrics.com/img/songs/amaradewa_w_d/ase_mathuwana.png
Amaradewa W D,,Amaradewa W D,Bodhiyen Wata,https://www.lklyrics.com/img/songs/amaradewa_w_d/bodhiyen_wata.png
Amaradewa W D,Arisen Ahubudu,Amaradewa W D,Gilem Obe Guna Mude,https://www.lklyrics.com/img/songs/amaradewa_w_d/gilem_obe_guna_mude.png
Amaradewa W D,Mahagamasekara,Amaradewa W D,Ama Ganga Galala,https://www.lklyrics.com/img/songs/amaradewa_w_d/ama_ganga_galala.png
Rohana Weerasinghe,Kularathna Ariyawansa,Amaradewa W D,Aradhana,https://www.lklyrics.com/img/songs/amaradewa_w_d/aradhana.png
,,Amaradewa W D,Guru Gedara,https://www.lklyrics.com/img/songs/amaradewa_w_d/guru_gedara.png
Premasiri Kemadasa,,Amaradewa W D,Hanthane ,https://www.lklyrics.com/img/songs/amaradewa_w_d/hanthane_.png
,Madawala S Rathnayaka,Amaradewa W D,Heena Hathak Mada,https://www.lklyrics.com/img/songs/amaradewa_w_d/heena_hathak_mada.png
Rohana Weerasinghe,,Amaradewa W D,Handapane Weli Thala,https://www.lklyrics.com/img/songs/amaradewa_w_d/handapane_weli_thala.png
Aruna Gunawardana,Janaka Siriwardana,"Amaradewa W D,Umaria Sinhawansa",Hanthana Sihine (Bala Walapemi),https://www.lklyrics.com/img/songs/amaradewa_w_d/hanthana_sihine_bala_walapemi.png
Amaradewa W D,Mahagamasekara,Amaradewa W D,Kale Gahaka Mal,https://www.lklyrics.com/img/songs/amaradewa_w_d/kale_gahaka_mal.png
Premasiri Kemadasa,Dr Ajantha Ranasinghe,"Amaradewa W D,Sunethra Sarathchandra",Heen Sare Oba Awa Awa,https://www.lklyrics.com/img/songs/amaradewa_w_d/heen_sare_oba_awa_awa.png
,,Amaradewa W D,Kale Pipunu Malak Wilasa,https://www.lklyrics.com/img/songs/amaradewa_w_d/kale_pipunu_malak_wilasa.png
,,Amaradewa W D,Kanda Udin Ena,https://www.lklyrics.com/img/songs/amaradewa_w_d/kanda_udin_ena.png
Sanath Nandasiri,,Amaradewa W D,Kandulu Kathawe,https://www.lklyrics.com/img/songs/amaradewa_w_d/kandulu_kathawe.png
,,Amaradewa W D,Mage Kandulin,https://www.lklyrics.com/img/songs/amaradewa_w_d/mage_kandulin.png
Amaradewa W D,,Amaradewa W D,Karadara Podi Banda,https://www.lklyrics.com/img/songs/amaradewa_w_d/karadara_podi_banda.png
,,Amaradewa W D,Maha Piritha Wi Numba,https://www.lklyrics.com/img/songs/amaradewa_w_d/maha_piritha_wi_numba.png
,,Amaradewa W D,Mal Gomu Gomu,https://www.lklyrics.com/img/songs/amaradewa_w_d/mal_gomu_gomu.png
Amaradewa W D,Mahagamasekara,Amaradewa W D,Mahaweli Mahaweli,https://www.lklyrics.com/img/songs/amaradewa_w_d/mahaweli_mahaweli.png
,,Amaradewa W D,Me Guru Pare,https://www.lklyrics.com/img/songs/amaradewa_w_d/me_guru_pare.png
Amaradewa W D,Mahagamasekara,Amaradewa W D,Mala Ira Basina Sanda Yaame,https://www.lklyrics.com/img/songs/amaradewa_w_d/mala_ira_basina_sanda_yaame.png
Somapala Rathnayake,,Amaradewa W D,Mihipita Angalak Himi Nethi Minisek,https://www.lklyrics.com/img/songs/amaradewa_w_d/mihipita_angalak_himi_nethi_minisek.png
,,"Amaradewa W D,Nanda Malani",Muni Siri Pa Simbiminne,https://www.lklyrics.com/img/songs/amaradewa_w_d/muni_siri_pa_simbiminne.png
Amaradewa W D,Madawala S Rathnayaka,Amaradewa W D,Mindada Hee Sara,https://www.lklyrics.com/img/songs/amaradewa_w_d/mindada_hee_sara.png
,,Amaradewa W D,Muwarada Bara Pipi Mal Gomu,https://www.lklyrics.com/img/songs/amaradewa_w_d/muwarada_bara_pipi_mal_gomu.png
,,Amaradewa W D,Nil Maane Mal Pipuna,https://www.lklyrics.com/img/songs/amaradewa_w_d/nil_maane_mal_pipuna.png
Nimal Mendis,Ogastas Vinayaagarathnam,Amaradewa W D,Nim Him Sewwa Ma Sasare,https://www.lklyrics.com/img/songs/amaradewa_w_d/nim_him_sewwa_ma_sasare.png
,,Amaradewa W D,Nila Kobei Raana Adi,https://www.lklyrics.com/img/songs/amaradewa_w_d/nila_kobei_raana_adi.png
Amaradewa W D,Amaradewa W D,Amaradewa W D,Oba Ma Thurule,https://www.lklyrics.com/img/songs/amaradewa_w_d/oba_ma_thurule.png
,,Amaradewa W D,Niwan Purata Maga Penwana,https://www.lklyrics.com/img/songs/amaradewa_w_d/niwan_purata_maga_penwana.png
Amaradewa W D,,Amaradewa W D,Oba Sumudu Neth,https://www.lklyrics.com/img/songs/amaradewa_w_d/oba_sumudu_neth.png
Premasiri Kemadasa,Kularathna Ariyawansa,Amaradewa W D,Obe Sina Wikasitha Wewa,https://www.lklyrics.com/img/songs/amaradewa_w_d/obe_sina_wikasitha_wewa.png
Amaradewa W D,Sunil Ariyarathna,Amaradewa W D,Pem Rala Patharin,https://www.lklyrics.com/img/songs/amaradewa_w_d/pem_rala_patharin.png
,Sunil Ariyarathna,Amaradewa W D,Premaye Nijabima,https://www.lklyrics.com/img/songs/amaradewa_w_d/premaye_nijabima.png
,,Amaradewa W D,Paalu Anduru Nil Ahasa Mamai,https://www.lklyrics.com/img/songs/amaradewa_w_d/paalu_anduru_nil_ahasa_mamai.png
Premasiri Kemadasa,Dr Ajantha Ranasinghe,"Amaradewa W D,Neela Wickramasinghe",Paloswaka Sanda Payanu Wenne,https://www.lklyrics.com/img/songs/amaradewa_w_d/paloswaka_sanda_payanu_wenne.png
Premasiri Kemadasa,Dharmasiri Gamage,"Amaradewa W D,Nanda Malani",Rana Gira Joduwayi,https://www.lklyrics.com/img/songs/amaradewa_w_d/rana_gira_joduwayi.png
,,Amaradewa W D,Sandakath Pini Diya,https://www.lklyrics.com/img/songs/amaradewa_w_d/sandakath_pini_diya.png
,Sri Chandrarathna Manawasinghe,Amaradewa W D,Seethala Wathura Galayi,https://www.lklyrics.com/img/songs/amaradewa_w_d/seethala_wathura_galayi.png
,,Amaradewa W D,Sasara Wasana Thuru,https://www.lklyrics.com/img/songs/amaradewa_w_d/sasara_wasana_thuru.png
Amaradewa W D,Amaradewa W D,Amaradewa W D,Shantha Me Ra Yame,https://www.lklyrics.com/img/songs/amaradewa_w_d/shantha_me_ra_yame.png
,,Amaradewa W D,Sansare Eka Mohothak,https://www.lklyrics.com/img/songs/amaradewa_w_d/sansare_eka_mohothak.png
Amaradewa W D,Madawala S Rathnayaka,Amaradewa W D,Sihina Sathak Mada,https://www.lklyrics.com/img/songs/amaradewa_w_d/sihina_sathak_mada.png
,Mahagamasekara,Amaradewa W D,Siripa Piyume,https://www.lklyrics.com/img/songs/amaradewa_w_d/siripa_piyume.png
,,Amaradewa W D,Sihina Nelum Mala,https://www.lklyrics.com/img/songs/amaradewa_w_d/sihina_nelum_mala.png
,,"Amaradewa W D,Charitha Priyadharshani Peiris",Sithiwili Opala,https://www.lklyrics.com/img/songs/amaradewa_w_d/sithiwili_opala.png
Premasiri Kemadasa,Kularathna Ariyawansa,Amaradewa W D,Seetha Pini Bindu,https://www.lklyrics.com/img/songs/amaradewa_w_d/seetha_pini_bindu.png
Amaradewa W D,Madawala S Rathnayaka,Amaradewa W D,Swarna Wimaaneta Eha Lokayen,https://www.lklyrics.com/img/songs/amaradewa_w_d/swarna_wimaaneta_eha_lokayen.png
